ssn,leukocyty,hemoglobin,trombocyty,indicator,alt,ast,hematokrit,hbver,etytr,er-cv,erytrocyty
181-24-2330,6.37705,5.33368,5.73117,1.0,15.92262,36.98708,5.904,5.31354,5.59349,42.96022,3.70773
181-35-6002,6.51196,6.69832,5.80139,1.0,14.19354,47.58283,8.35567,6.3822,5.53779,63.20697,2.99529
181-90-1017,6.27537,8.61926,5.24466,1.0,19.05375,35.30151,5.91394,4.75771,4.92735,42.78438,6.41447
182-04-0907,6.25675,5.69259,5.75881,1.0,11.27849,49.3686,9.5653,6.74927,7.25001,53.61816,4.99244
182-17-5687,7.61482,9.26102,6.89176,1.0,8.96195,37.49979,3.44624,3.71667,6.21993,21.92301,6.06139
182-54-3959,5.26137,5.87911,6.37566,1.0,9.13319,34.13113,7.57087,8.26358,5.19055,55.05177,3.31143
182-56-5532,6.30204,8.38794,5.50394,1.0,17.33338,52.37011,7.8226,6.27112,7.41901,53.48058,5.45928
182-94-3914,4.75563,3.92606,6.88573,0.0,9.18803,48.79056,7.18294,6.39834,6.35213,38.8615,3.96172
183-63-7143,4.91945,10.5121,7.1107,1.0,14.42086,28.13315,6.22296,5.74044,5.50082,57.95357,2.4319
183-97-3919,6.12817,7.47032,4.63876,0.0,11.56275,30.35962,7.1746,1.79375,7.94382,42.45706,4.751365567178817
184-29-4178,3.65615,4.91719,6.2061,1.0,14.85949,30.84122,7.53119,7.55434,6.15826,31.43547,3.76325
184-33-0936,5.86838,6.22534,6.6461,0.0,15.36915,55.74817,8.22753,3.46263,7.18421,39.9721,6.07142
184-39-3007,4.51598,7.71631,6.7856,1.0,17.67356,32.91464,6.13643,7.41038,4.31796,58.17327,4.11562
185-29-2312,4.73415,5.09397,7.32539,0.0,15.95366,54.6418,6.58708,6.01031,3.95426,55.36788,1.94463
186-21-0616,6.88307,6.33582,6.12376,1.0,15.04237,57.84586,5.85195,4.99482,6.56305,53.9896,4.4543
186-57-4083,4.32583,7.73948,5.72314,0.0,12.30186,50.84751,5.3217,6.03401,7.01219,55.42699,4.08327
186-94-5839,4.42692,4.9083,5.9666,0.0,18.43139,62.96201,7.53271,7.31159,6.5586,60.02844,4.29311
187-45-5967,4.7174,8.53164,8.25646,1.0,13.43474,40.0886,6.47603,6.64027,6.01343,58.74477,3.04485
187-60-0718,5.71026,6.09312,4.25421,1.0,15.97193,46.41531,5.38238,3.93136,6.62275,29.72528,3.5346
187-80-9210,4.48799,7.27312,4.83929,1.0,15.42218,58.67923,7.43823,7.05528,6.04003,26.59571,5.13331
187-84-3467,5.7293,9.67074,6.16459,1.0,15.88162,38.92833,4.07192,3.40904,5.67103,38.13428,6.79973
187-91-4625,5.62947,8.20015,5.91851,0.0,31.46667,47.42549,6.39938,2.95049,6.16,31.08429,7.42182
188-21-3973,6.5537,6.69686,5.68144,1.0,0.6123,63.68526,5.58268,4.85261,5.56321,14.22544,4.25692
188-37-4736,6.49653,8.23527,6.01379,1.0,16.04954,76.83113,7.27533,6.61674,6.05132,46.88393,4.35484
189-35-0734,5.96786,7.32462,6.47771,0.0,4.88958,66.30522,8.82808,5.08936,6.31933,29.48177,5.44681
189-52-8587,7.69508,8.09761,6.46629,1.0,21.83698,35.91502,4.34519,3.56553,5.09091,44.23474,4.79699
189-88-8792,5.40315,9.37071,4.73757,1.0,15.97401,46.41679,8.70833,4.99321,5.48379,47.49519,3.53155
190-34-5760,6.33867,9.0147,6.32428,1.0,20.72114,45.11406,6.89506,6.38387,7.11536,63.03252,4.09315
190-43-9998,5.71691,5.40689,5.8485,1.0,21.17307,59.86594,9.3009,6.6641,6.16764,56.83757,6.97084
190-51-9416,5.18936,5.30222,5.0311,0.0,9.07417,42.22469,9.08479,4.58868,4.79337,77.64331,4.06607
191-19-1218,5.87829,9.27392,6.33606,1.0,17.82081,54.68375,4.9222,3.28266,5.09533,43.89928,6.02156
191-37-4379,6.49439,5.91011,5.15989,1.0,7.94019,46.5018,4.39344,6.48679,6.67705,52.50257,4.51771
191-48-3667,5.51175,4.90133,8.14511,1.0,7.21564,29.79889,5.28745,5.56571,7.47912,46.36143,3.06407
191-82-7142,7.93678,4.48564,6.89846,0.0,16.64696,28.30301,6.65792,7.29911,6.28857,64.94,6.51609
192-13-3005,5.32437,7.75541,5.81509,0.0,14.39279,45.25507,7.4467,4.61192,4.75637,32.46214,3.91984
192-19-6560,6.35767,5.73401,5.21098,1.0,12.45288,50.70246,7.39017,6.87374,5.43271,53.5529,4.90142
192-32-3473,6.01809,3.09692,6.62188,0.0,17.24186,40.18833,8.78907,8.02486,6.27055,59.78301,6.85867
192-45-2204,6.27422,4.94711,4.2768,1.0,25.72034,34.02656,8.69534,7.86373,6.13229,71.03989,7.60267
193-39-9327,6.37761,5.87459,5.73438,1.0,21.95075,76.46188,7.63613,7.82221,6.77068,39.76946,6.47148
193-60-2211,5.57946,5.25099,7.26662,1.0,13.22752,30.66471,8.88547,6.81329,7.74251,46.24162,5.31308
193-62-5722,5.40816,7.24272,3.99406,1.0,11.39821,42.21841,5.8216,8.39706,8.12851,42.91712,5.47556
193-97-7878,5.62912,5.38508,7.62724,1.0,6.04444,37.76806,6.65249,8.87691,5.01878,40.67626,4.86955
194-02-7486,7.63172,5.77935,6.01197,0.0,9.90828,47.93397,6.31044,5.63626,4.40307,54.01469,3.4103
194-52-2400,6.50492,4.77364,6.32599,1.0,14.2854,56.26456,5.02603,6.14093,6.56119,58.75032,2.25845
194-85-2922,5.022,9.35686,6.79921,1.0,17.90554,87.81219,4.06202,3.3051,6.46453,32.13909,5.59191
194-87-4332,6.77169,8.35516,6.63944,1.0,13.94476,23.80913,4.85353,4.36983,6.07015,52.24134,5.32425
195-03-5060,4.43593,6.39738,5.85652,1.0,15.62021,46.24909,6.98689,8.28977,6.2507,52.52746,4.16273
195-04-2151,7.03811,7.56776,5.88573,1.0,14.0199,32.36061,6.25969,4.57527,6.42795,51.10796,4.78325
195-51-0372,6.27636,4.65047,7.09017,0.0,13.75866,30.54975,6.93157,6.39352,5.7868,50.37146,3.24269
196-75-7935,6.97151,7.73936,5.82227,0.0,17.20276,49.30171,8.43695,4.89668,5.15949,63.41915,5.00062
196-82-4734,5.68538,6.07246,5.83302,1.0,20.77906,60.49959,3.99006,5.07243,7.81433,38.5818,4.40927
197-59-5179,5.13331,6.57773,5.09196,0.0,20.36041,100.0,8.10198,3.36232,4.55305,36.93313,4.59156
197-87-9577,7.21919,9.64151,6.63819,1.0,18.64262,68.23947,4.95386,3.47563,7.71826,71.59971,6.44856
197-94-6282,7.10453,7.35299,5.982637220405494,0.0,21.31226,68.18138,8.23322,4.17737,4.56312,74.38446,5.42166
197-96-3402,6.61736,6.94693,5.69341,0.0,8.3929,52.50117,7.59507,6.7704,7.80419,41.88452,4.10149
198-06-3958,5.30269,7.81549,7.22656,1.0,15.318,64.21916,7.43662,6.45167,5.59971,61.23375,5.70276
198-18-2914,6.12154,8.22177,7.11182,0.0,16.77072,51.71532,9.16025,5.03438,5.32394,52.06862,5.21434
198-31-7005,5.52009,6.04894,5.37108,1.0,12.10236,57.45658,5.48628,5.19014,5.76845,54.73664,3.6276
198-66-0941,5.7307,8.5163,8.40586,1.0,13.83821,39.32757,4.44785,4.41426,3.89703,65.78161,5.50915
199-09-0865,5.71642,5.17045,4.94043,1.0,21.82677,43.27241,7.41076,8.58367,7.34936,36.07062,4.96831
199-40-9162,5.94549,6.18012,6.61473,1.0,13.51742,44.18534,7.06668,7.60552,6.55217,53.34722,3.69206
200-32-1840,6.4792,3.41027,4.79129,0.0,19.67544,48.75084,9.29676,7.94963,7.28696,20.32758,5.28538
200-36-8115,5.80397,7.06529,6.47485,0.0,18.27826,54.7818,7.02778,4.10418,6.01712,56.71516,5.20112
200-57-6820,5.49782,7.58709,5.91626,0.0,18.82789,58.73704,9.08972,4.08039,7.42234,68.35588,6.36195
200-67-1775,5.95327,7.51009,7.63709,1.0,13.86419,61.61565,4.84774,3.80183,6.18632,51.33145,4.13959
201-16-0483,4.96895,8.46569,5.41412,0.0,14.05271,52.07565,8.64134,4.34921,5.7534,9.84174,6.0485
201-68-4278,7.07731,10.19603,7.04033,1.0,25.06998,51.97088,4.2334,4.10803,6.1471,32.29672,7.11523
201-99-0542,4.73631,7.3709,4.34855,0.0,10.72965,35.80907,7.15973,4.48656,6.36237,15.88829,4.97298
202-31-4460,8.14734,3.38206,5.99019,0.0,18.72731,41.63256,8.39194,6.47859,5.55572,70.58005,2.77464
202-39-0675,5.07813,8.2349,4.3089,1.0,12.57265,58.74683,8.04987,6.135,4.22248,65.52669,3.71229
202-40-4506,6.26804,7.34561,3.10304,1.0,12.40692,33.79329,5.11255,7.2759,7.39316,42.82652,4.70752
202-40-8161,5.10135,2.08932,6.84044,0.0,21.21835,31.37363,9.67639,7.32047,6.58235,59.90806,4.84164
202-59-8448,8.30116,6.65812,4.26106,0.0,15.18361,20.96283,3.65162,5.62368,6.33723,72.25431,3.83181
202-88-2468,6.73666,5.42016,5.95341,1.0,15.52558,38.78658,7.43909,8.13833,5.08542,68.67311,6.01146
203-01-4533,6.38934,6.40037,7.66837,1.0,20.86991,30.92714,9.55311,6.10501,5.02918,30.64245,2.84835
203-02-5380,5.3081,6.55084,6.1478,0.0,18.58396,58.17815,8.07916,6.02539,6.56332,38.46571,3.93105
203-05-4641,7.78719,4.05086,6.32672,0.0,16.98129,63.2046,8.73179,8.23739,5.33299,46.5524,6.10397
203-17-7651,4.86923,6.85988,3.31695,1.0,14.69035,41.92113,5.09851,8.92434,6.46153,48.9925,6.2305
203-54-9330,5.54507,8.05492,5.20589,1.0,21.05751,41.33538,7.59648,6.01073,5.73263,54.64631,6.52496
203-57-1694,5.16478,5.14158,7.17582,0.0,13.22414,37.04206,7.65924,7.14441,5.37688,56.19906,3.1783
204-46-3217,5.79387,5.74964,5.45162,1.0,23.57103,60.61443,6.79344,8.75594,5.35437,46.24341,6.01988
204-64-8603,4.89752,8.37669,5.8872,1.0,12.85411,66.83463,5.04019,8.04967,5.63476,58.85217,4.05875
204-79-5086,6.05384,9.57297,4.00542,1.0,10.25778,38.75919,6.0305,3.2581,6.61263,60.77201,6.01268
204-98-9156,7.94111,7.44788,6.34014,1.0,14.02449,19.56328,6.96085,6.66095,6.35528,44.13917,5.75366
205-49-4441,4.85671,9.06113,6.36571,1.0,21.526,45.09069,5.19704,4.19577,5.92911,56.41704,6.60261
205-64-5669,6.5738,10.25529,6.90232,1.0,28.95492,40.96931,2.91946,3.64331,6.62708,56.6048,7.67911
205-75-2073,5.29083,5.11538,5.90906,0.0,15.79777,63.14098,5.95288,6.00417,6.13592,59.6708,3.12925
206-08-5633,7.34841,6.58283,5.97038,0.0,13.43996,23.77246,9.46709,4.69017,6.16803,79.70917,4.46185
206-20-5852,5.74132,7.01623,7.13855,1.0,9.19262,46.4632,5.66879,3.97012,4.11871,51.30023,4.26512
207-25-8612,3.19264,1.11635,6.1938,0.0,15.91416,45.75396,8.35505,5.99287,4.33097,33.41632,5.12377
207-68-6633,6.78727,6.74587,6.80252,1.0,15.39224,55.38466,7.34379,6.33357,5.18006,50.43678,3.91819
207-78-0488,4.47468,7.32378,6.11943,1.0,9.46756,47.6929,7.20592,6.94885,5.66295,49.77292,4.51594
208-37-7653,7.33882,8.62965,7.42729,1.0,9.25111,66.5236,4.75125,3.55808,7.51644,27.96431,5.44806
210-49-2094,5.82492,9.16282,5.82308,1.0,19.26525,51.1331,4.2012,2.36576,5.28487,42.43999,5.67967
210-55-1854,3.95812,8.34783,6.89331,0.0,20.92706,46.73963,8.93168,3.48407,6.82234,46.27253,6.68833
210-58-8065,5.14973,3.32135,6.89065,0.0,16.97732,52.46036,7.82312,6.83101,5.85681,41.58643,4.96866
210-70-3610,5.72073,8.67417,5.99252,1.0,10.8067,24.27119,3.65614,3.7037,6.2822,33.72896,6.07788
210-77-1594,4.87617,5.39038,5.71505,1.0,15.2228,42.98777,8.92701,7.32634,5.37689,64.10503,4.35669
211-09-4525,5.66336,9.57503,7.58003,1.0,30.14093,51.45538,3.21637,4.47735,6.93277,46.33894,7.3394
211-36-2535,6.247,5.27916,7.31002,0.0,10.41258,49.42756,7.82444,5.55789,5.15334,46.61489,2.78665
211-41-8121,4.77043,7.10135,5.91238,1.0,12.77256,36.76123,7.4588,7.1423,4.88984,48.34135,5.42249
211-49-3690,6.11021,7.9707,7.54887,1.0,13.15478,59.62565,6.14437,7.46888,6.73913,61.19092,3.45297
211-63-8190,5.27835,5.72081,6.19477,1.0,15.61609,38.1152,8.23623,7.29887,7.0125,42.75711,5.40591
211-83-0523,5.07399,3.60993,6.1364,0.0,25.00013,55.188,9.99489,8.79843,5.06345,43.94627,6.01717
211-99-1126,4.46705,7.3009,5.88861,1.0,12.46434,57.21956,5.40472,4.38808,6.79279,54.05495,4.26986
212-05-0678,5.45224,7.24015,6.19189,1.0,9.43947,59.23479,5.28631,5.22641,5.2223,48.10013,5.09962
212-19-9513,5.6323,4.55955,6.47214,1.0,23.55693,47.96678,9.71822,8.14932,5.8147,51.20137,6.44078
212-47-3356,4.1343,8.43661,4.33613,1.0,15.25854,62.97429,3.54663,3.82108,6.76608,59.65622,5.32422
212-85-9372,4.80876,7.18092,7.19372,1.0,10.89184,40.61907,7.98882,7.20394,3.77174,69.03327,3.64354
213-47-4214,5.83917,9.07524,6.61032,1.0,20.48023,60.9561,4.19927,4.5372,4.32777,40.62913,6.61066
213-51-2222,6.30613,8.51033,7.10971,1.0,19.55632,54.28651,3.25755,4.04397,5.65136,46.35537,5.77499
214-20-4222,6.37749,8.31133,5.6939,1.0,20.6878,42.24752,5.15502,4.11437,5.94048,51.88449,5.5655
214-34-0780,6.21041,8.55738,4.94569,0.0,15.67053,41.75351,5.12878,5.28224,4.65355,63.06477,5.25184
214-34-4140,6.71093,3.54072,4.77819,0.0,9.7958,53.81832,8.0624,7.40024,6.84852,45.71675,5.70859
214-38-9776,7.61555,7.18144,5.70776,1.0,12.45583,48.55557,9.89288,6.06704,5.38029,31.84007,3.72468
214-48-3445,6.19573,5.64156,4.17366,0.0,8.94236,48.22292,5.63731,6.39707,6.13527,37.05277,3.98831
214-59-3177,4.27631,8.64977,5.76474,0.0,16.73643,34.92311,8.08312,3.55585,5.23329,38.27688,6.40212
214-61-4744,5.35749,7.26908,6.19018,1.0,16.13974,34.0283,4.57414,4.50267,7.041,32.67472,5.43021
214-68-2617,5.64424,8.89036,7.08096,1.0,10.75488,44.74484,5.66791,7.39951,5.54041,52.01106,4.54611
214-99-8378,6.36301,9.33758,7.57284,1.0,5.95626,29.79135,5.60431,7.01132,4.53591,37.1668,2.5545
215-63-6694,6.17029,7.73535,4.3983,1.0,19.69225,40.80005,3.89241,8.52903,7.74795,57.58034,5.1923
215-68-5870,6.83721,8.42435,6.97845,1.0,6.43472,30.49842,7.24958,5.7631,6.10322,61.85203,4.91186
215-69-6246,7.3027,6.47976,6.72709,1.0,10.174,50.94261,6.27965,5.59977,5.76833,51.19528,3.98371
215-81-0240,4.82661,8.13465,6.02164,1.0,12.20934,47.05374,4.28019,5.36285,4.70548,41.89994,6.087
216-13-2039,6.60969,2.80496,7.73384,0.0,14.36997,45.2018,8.83939,7.63452,4.77003,42.68901,6.16192
216-48-1802,8.35888,6.46198,7.54755,1.0,11.02996,51.95312,3.43448,4.25833,5.04831,33.60106,3.69785
216-59-1977,6.91508,8.30438,6.39889,0.0,10.93946,50.21985,5.8507,4.43966,5.48649,63.5013,4.2684
216-64-9761,8.22831,6.67956,6.57811,1.0,15.18049,51.48623,4.25471,5.27025,4.82764,33.04059,4.31425
217-35-1556,7.13013,6.65441,6.24648,0.0,18.54681,43.93393,7.54493,7.20514,5.2258,31.4654,5.17368
217-35-6560,6.14605,6.1984,6.23389,1.0,8.82039,44.4251,3.97445,5.86973,4.95188,54.43176,4.3872
217-61-9882,5.01556,5.8511,5.22111,1.0,16.46814,53.23239,8.05514,7.69703,5.73599,46.67566,6.07705
217-83-9030,5.72462,5.42814,5.18262,1.0,14.99409,58.21796,7.9099,8.03312,5.10573,29.96026,5.69797
218-06-8627,5.72088,6.84083,4.81411,0.0,12.00461,58.03131,6.43386,7.08733,4.5933,51.92126,2.62353
218-11-5307,4.03939,9.19003,7.50845,1.0,18.57044,60.62125,5.20198,6.62086,6.38399,54.41882,4.48066
218-27-4282,5.72235,6.73784,4.76413,1.0,23.07314,53.80491,8.30375,7.40514,5.52209,53.3128,5.51126
218-57-1028,5.95438,8.43084,5.33596,1.0,10.46581,60.91371,4.94067,7.66611,4.79046,25.57275,5.25124
218-68-6003,6.50645,2.29126,6.87918,0.0,13.81884,53.28601,9.18745,7.83888,7.3415,16.56482,6.8886
218-79-7414,7.06623,8.593,6.00345,0.0,12.62226,42.9926,7.16784,5.6978,5.39286,39.30133,4.32425
218-85-6285,7.14974,8.93249,6.659,1.0,12.88467,38.91613,5.42002,6.66813,6.51561,62.17601,4.7249
219-60-7685,5.89792,1.85711,4.92194,0.0,15.16942,64.00146,9.60937,7.66414,6.75367,53.52394,6.37315
220-42-8328,7.48604,6.60865,8.08162,1.0,16.42103,35.15874,5.9562,8.19026,5.30795,32.51101,5.04799
220-68-3957,4.03812,7.95712,6.87883,1.0,12.58024,28.30117,4.58652,3.22136,4.12301,58.10522,4.32198
220-74-3553,7.86981,6.97118,7.0648,0.0,17.57149,24.80571,4.15204,9.15884,4.01313,51.99199,5.95637
220-81-8533,4.86127,11.4282,5.62131,1.0,26.19938,42.86679,5.47988,1.77565,8.00698,40.16632,7.31124
220-98-6501,4.07921,9.43688,4.60143,1.0,12.8333,60.88142,3.7532,3.30764,5.64159,21.34577,6.00124
221-11-1165,6.97312,7.20204,3.77421,1.0,11.12019,34.35131,3.34524,3.78972,5.25729,56.68834,4.29912
221-45-2844,5.85958,9.54174,5.5283,0.0,14.91826,56.97809,6.18649,4.58887,6.48464,82.92729,5.24696
221-54-9589,4.30885,7.59571,6.64783,0.0,14.4739,47.40115,8.19664,5.36731,6.22892,31.08196,4.88799
221-78-1108,4.78722,7.89145,4.76288,0.0,11.35978,48.2546,6.11029,5.06288,5.43095,50.89916,3.66526
222-01-7013,6.34814,6.09331,8.14713,0.0,18.43171,36.17458,6.84403,7.36593,5.44482,40.56184,3.77159
222-19-4910,6.42657,7.72382,6.11437,1.0,11.21584,38.73957,5.01298,8.95314,8.26488,39.57689,5.18248
222-85-8898,6.08269,6.5843,6.32229,1.0,17.31856,57.52474,5.38931,3.98105,6.99607,43.93288,3.8925
222-87-4162,6.50359,5.76878,5.52687,1.0,18.9235,62.47616,6.23517,8.31078,4.71922,70.26343,5.71932
222-89-8312,4.96165,7.54324,5.3382,1.0,16.63577,40.65233,6.10789,7.80103,5.04016,41.58788,4.20669
223-69-7468,5.31522,10.24118,5.38442,1.0,15.50942,28.67239,4.55564,3.09315,5.88491,55.08727,6.99347
223-92-8493,6.26794,6.13276,6.33406,1.0,10.44143,46.18169,8.0147,7.59624,4.69488,49.37024,5.65784
224-62-3131,6.64382,3.42347,5.63477,0.0,13.09911,61.26298,7.40433,6.30099,6.03531,36.06303,3.97615
224-88-7419,6.39373,5.75452,6.16168,1.0,16.65559,61.92916,7.83813,7.17797,6.40143,57.63187,5.78777
226-28-4814,5.59414,9.20493,5.708,1.0,15.27462,50.78937,4.59595,5.0852,5.38938,47.8591,5.91592
226-34-5177,5.6176,7.41321,6.36208,1.0,15.83619,58.58391,6.49683,7.51922,6.94048,39.36477,5.0202
226-52-9893,5.79783,8.53533,6.61372,1.0,12.80074,40.59318,3.65312,4.80863,5.46122,52.33699,5.27714
226-63-5503,5.61515,9.92533,7.06963,1.0,16.70846,56.24071,4.91849,3.4476,6.43619,29.62919,6.24474
226-93-4375,5.45309,7.20005,7.11734,1.0,11.74671,54.54715,4.65337,5.70232,6.30077,69.88507,5.07722
226-94-9493,3.98807,6.59733,6.23681,1.0,13.26901,47.02778,3.28077,5.64234,6.58405,28.17856,4.71201
227-30-9827,6.06536,7.2917,7.86746,1.0,21.34137,37.6559,8.28821,6.17543,5.10747,43.22005,6.44062
227-92-6838,6.82405,4.33973,6.39969,0.0,28.73394,30.10213,8.4935,8.53708,6.00785,29.45914,6.86507
228-41-1973,5.40594,5.68157,6.76707,1.0,13.07765,48.58881,3.71555,4.85362,5.60396,30.47483,2.96601
228-66-2047,6.44931,7.44005,7.144,1.0,17.95326,37.86066,6.84339,7.78296,4.78473,53.80373,4.20637
228-68-0148,4.4827,4.27585,6.56236,0.0,11.35099,50.84452,8.52657,4.65701,6.75486,64.68858,3.76531
228-79-3042,5.86675,7.03452,5.73473,0.0,19.48088,44.40312,6.98261,4.58182,7.42337,42.3732,4.58765
228-82-2500,5.4299,7.62076,6.08901,1.0,21.12409,63.73145,4.6714,4.42822,6.10756,64.90768,5.25801
229-21-2164,7.59992,6.29476,6.073,1.0,14.02555,45.89212,6.63189,8.94836,6.64156,42.51293,5.60013
229-23-4371,5.94264,7.11801,6.2703,1.0,9.4552,41.92192,6.64223,7.33257,4.05553,44.43045,4.07193
229-64-9537,6.95579,5.43292,7.53647,0.0,17.61575,31.84201,7.30212,6.1436,7.34595,47.12727,3.76314
229-90-9099,5.63097,8.06936,4.48595,1.0,19.21066,46.10902,5.24158,4.94977,6.85831,47.8866,5.09483
230-58-6665,6.64441,5.87692,6.02892,0.0,14.06832,67.799,7.41455,7.3435,4.81182,49.9077,3.01429
230-75-6335,7.75047,5.04846,5.7104,0.0,22.31296,38.01727,8.21562,7.97971,7.14412,44.92167,4.73871
230-79-9823,3.32718,5.67977,5.4384,1.0,15.43143,63.14883,4.4322,4.7718,8.51397,42.2444,3.182
230-90-5085,5.3451,5.74138,5.45928,0.0,18.04665,37.34399,5.76657,7.13718,5.74776,40.54485,5.706
230-97-2343,5.24271,5.58943,6.45289,1.0,10.13288,58.1716,5.22818,3.84472,7.61268,63.32035,2.98107
230-98-9313,6.36171,8.74032,5.25656,1.0,15.97462,37.57916,3.0969,8.0185,4.97661,61.22343,4.71458
231-80-6862,6.17407,3.95237,6.5586,0.0,12.3113,57.66788,9.35346,8.52234,5.5111,71.44267,5.9482
231-81-2130,6.77748,8.34072,7.46136,0.0,3.27145,46.60297,6.27455,4.55744,6.94801,38.39439,4.70926
232-14-4542,5.31503,4.2515,5.64986,0.0,15.11683,61.0024,8.63083,7.79424,6.61943,48.51436,4.63406
232-21-4557,6.16903,7.14916,5.63219,1.0,17.67851,45.75776,4.49167,4.42659,6.35453,37.02836,5.20967
232-21-9720,5.36413,5.03211,6.33116,0.0,16.3852,34.07566,7.40006,6.89634,4.6028,46.52113,3.19338
232-40-7564,4.92157,8.97065,6.19798,1.0,18.07603,35.08888,5.7498,6.99872,3.37412,34.97849,5.32163
232-89-5098,7.07915,4.28607,5.01001,0.0,12.69359,36.94043,6.97003,6.60845,7.15554,46.55003,4.33861
233-05-9864,7.01946,9.20932,6.46187,1.0,11.76514,64.11864,3.41151,2.73279,4.58576,57.11176,5.92053
233-66-8491,5.95224,7.05411,4.66232,1.0,11.84926,84.15835,5.37049,4.74601,5.37355,64.86992,4.56488
233-92-9728,5.66392,6.3927,5.52193,1.0,9.79088,35.83179,6.51272,8.5978,5.65448,49.12012,5.5919
233-97-0920,4.31865,5.2825,6.4211,0.0,10.83163,37.85339,7.2751,4.23777,5.92121,59.50181,3.40348
234-05-4752,4.20188,6.64813,4.60491,0.0,8.8372,42.81142,6.75343,4.94622,5.42613,53.65763,4.16706
234-51-2248,5.64504,8.43637,7.29219,1.0,7.58903,54.07832,5.99743,7.53961,6.13131,48.2575,3.48827
235-07-7985,6.8502,7.95936,6.01819,1.0,19.43192,25.28217,4.5643,5.95269,5.56422,47.792,6.13293
235-38-3993,5.33395,3.54804,6.03624,0.0,18.16239,66.06638,8.83795,7.56759,5.7094,57.27468,4.69799
235-46-8764,6.25074,8.06453,6.4573,1.0,18.62397,25.1929,5.28206,7.5063,6.53084,42.19655,5.35894
235-54-5672,5.08701,5.28985,7.17298,1.0,18.2961,16.47751,4.53986,5.61386,5.16458,41.90156,3.53667
235-69-3037,6.51876,8.53333,5.12546,1.0,20.83854,48.92583,4.61895,7.89356,5.75816,28.72852,4.39091
236-17-3736,7.00301,7.83194,7.28094,0.0,21.70156,44.1028,6.67057,4.36953,4.74655,43.25037,5.23565
236-32-6279,5.87981,7.1372,4.43921,1.0,12.30345,49.8448,5.17646,4.79526,5.57427,52.86984,4.02886
236-65-6676,7.00491,6.7723,7.10877,1.0,14.67121,51.61677,5.7053,6.68664,6.06031,60.6547,5.40498
236-79-9474,5.7507,8.2832,6.60493,1.0,16.74858,49.68282,6.16591,7.77075,6.63492,53.04387,6.4905
237-06-0080,4.56237,6.54379,5.35286,0.0,21.32973,53.20114,9.19673,3.6949,7.65447,41.78263,6.30672
237-31-4037,5.92386,8.89663,4.97859,1.0,11.79649,58.88694,3.85615,3.89202,7.3271,40.72934,5.98399
237-34-5035,7.18682,7.74333,6.19802,1.0,17.267,29.37763,6.59855,6.96683,6.64639,42.73599,5.2212
237-65-9748,5.69726,8.21735,4.2562,1.0,12.6838,36.1169,5.25526,5.24901,7.45153,47.13104,5.7769
237-68-4338,4.06928,6.89556,5.20756,1.0,17.20921,48.63342,4.6256,5.25158,4.57072,41.18702,4.5466
238-02-3146,6.52749,6.97746,6.37937,1.0,19.39706,42.67487,7.71878,6.94984,5.12837,47.25036,5.77297
238-23-6485,5.70677,7.27667,7.75542,1.0,17.01804,64.03797,4.88164,4.58356,5.73669,43.01777,4.93988
238-56-2355,6.19379,4.11204,6.29347,0.0,10.13409,49.03685,6.175,6.63746,4.54275,44.6997,6.13543
238-62-2442,3.99975,7.712,3.53657,1.0,18.02376,46.834,4.72688,4.86877,5.44277,56.60891,5.11277
238-69-9153,5.63183,7.27642,5.5042,0.0,15.29907,54.03292,7.76414,3.36935,7.23503,30.99741,6.22477
238-71-6901,4.95059,6.61597,5.22422,1.0,17.64302,37.66563,7.57248,5.13315,6.13161,52.45432,3.98267
239-03-3839,5.82578,7.43854,7.6146,1.0,19.52895,48.31905,7.70048,7.08559,7.55283,53.90422,4.64404
239-47-0070,7.35404,6.52295,4.98368,1.0,16.99462,45.70249,7.82452,7.31311,6.65401,68.76377,5.56397
239-94-7285,6.40057,7.00532,4.80808,0.0,12.83893,74.59586,7.15485,4.8607,5.31138,48.85925,4.91757
240-87-4204,6.89055,9.28666,4.08884,1.0,22.51201,34.87623,5.20959,5.0125,5.42296,48.74782,6.89932
240-98-0854,4.94607,5.56858,5.69935,1.0,18.17569,51.91855,5.17889,3.99407,6.95809,47.45227,2.47275
241-40-3821,4.57913,7.63803,4.36177,1.0,14.2,36.96779,4.48947,2.71325,5.97311,46.3901,4.89572
241-42-4683,6.83951,4.50815,5.55192,0.0,15.92823,44.2243,6.7846,6.81077,4.17803,68.52857,4.90055
242-37-5837,5.92275,7.43861,7.08542,1.0,14.18073,56.78917,2.8012,3.71192,3.71464,70.59988,5.52778
242-51-7752,5.29918,6.50415,7.46494,1.0,16.15573,45.40656,7.45648,6.73246,6.64028,35.18973,3.88553
242-53-1366,6.69327,7.02504,6.60354,1.0,13.57832,53.71702,4.75366,4.4541,6.50883,55.89247,4.35796
243-79-7921,6.09765,7.91152,5.18346,0.0,20.47799,42.91243,8.19865,3.87685,8.35535,51.23326,5.60826
243-88-0389,4.72757,5.51329,8.51748,0.0,14.65354,44.20822,5.40046,5.1499,5.40615,42.05851,1.05071
243-95-2748,6.44932,8.52022,6.57631,1.0,16.146,60.28696,5.67656,7.65199,6.25745,31.90144,4.72469
243-99-0601,5.6824,6.24473,5.77969,1.0,21.83051,67.10281,6.81999,8.40045,6.5775,63.59103,7.07911
