ssn,smoker,relationship,job,blood_group,race,sex
155-78-4152,1,widowed,Surgeon,O+,Black,1
155-79-0198,0,widowed,Agricultural consultant,O+,Asian,1
155-94-4077,0,married,Chief Marketing Officer,O-,White,1
156-39-2983,0,married,Clinical biochemist,AB+,White,0
156-53-1679,1,single,Magazine features editor,AB+,White,1
156-91-8141,0,divorced,Haematologist,B-,Asian,0
157-32-1827,0,divorced,Information systems manager,AB-,White,0
157-32-2908,0,divorced,IT sales professional,A-,Asian,1
157-37-8758,0,divorced,Higher education lecturer,B+,White,0
157-86-0009,0,widowed,Analytical chemist,A-,Black,0
158-08-5139,0,divorced,Sports therapist,O-,White,0
158-66-0548,1,nop,"Investment banker, operational",B+,White,1
158-71-6126,0,divorced,Broadcast journalist,A+,Black,1
159-20-4746,0,separated,Ship broker,O+,White,1
159-57-2215,0,divorced,"Administrator, charities/voluntary organisations",AB-,White,0
159-67-4129,1,single,Amenity horticulturist,B+,Black,0
159-84-9051,1,separated,Retail banker,B+,White,1
160-13-2931,0,divorced,Facilities manager,B-,White,0
160-22-0901,1,married,"Conservation officer, historic buildings",B-,Black,0
160-44-3958,0,divorced,"Designer, textile",A+,Asian,1
160-50-5543,1,divorced,Hotel manager,AB+,Hawaiian,0
160-74-8266,0,married,"Lecturer, higher education",A-,White,1
160-78-1505,0,married,"Engineer, chemical",O-,White,0
161-01-6579,0,divorced,Trade union research officer,AB-,Black,1
161-43-1229,0,widowed,Psychotherapist,B+,Indian,1
161-76-5045,1,nop,Dentist,AB+,White,1
161-97-9650,0,nop,Ship broker,B-,Black,0
162-88-9997,0,divorced,"Surveyor, rural practice",AB-,White,1
163-17-6128,0,single,IT consultant,AB-,White,0
163-46-3919,1,separated,Sports therapist,AB+,Hawaiian,1
163-54-4536,1,divorced,"Engineer, agricultural",O-,White,1
163-56-8338,1,divorced,Charity fundraiser,O-,White,1
163-75-3158,0,divorced,Production manager,AB-,Asian,0
163-84-8842,0,nop,IT trainer,O+,Black,0
163-93-4054,1,divorced,"Scientist, audiological",A+,Black,0
164-09-8291,0,single,"Doctor, general practice",A+,White,0
164-27-0207,0,divorced,Industrial/product designer,B+,White,0
165-02-5191,0,nop,Chief Technology Officer,AB-,White,1
165-07-4495,0,divorced,Chief Strategy Officer,B-,White,1
165-45-0386,1,married,Customer service manager,AB+,White,0
165-92-1202,0,widowed,Industrial buyer,B-,White,1
165-93-6803,1,divorced,Learning disability nurse,AB+,Black,0
166-01-8965,1,single,Product/process development scientist,AB+,White,0
166-05-5385,0,married,Clinical cytogeneticist,A-,Hawaiian,1
166-06-5326,0,separated,Maintenance engineer,A-,White,1
166-09-3501,1,widowed,Race relations officer,A+,White,0
166-59-9871,0,single,"Surveyor, building",O-,White,1
166-88-7821,0,nop,Social researcher,B+,White,0
167-42-7218,1,divorced,"Pilot, airline",O-,White,0
167-60-1765,1,divorced,"Journalist, magazine",B-,White,1
167-68-9677,0,nop,Sports development officer,B-,White,0
167-95-3639,1,separated,Network engineer,O-,Black,1
167-95-4435,1,married,Jewellery designer,A-,White,1
168-14-9182,1,widowed,Secondary school teacher,B-,Black,1
168-24-0360,0,single,Lexicographer,AB+,Black,1
168-37-0187,1,married,Quarry manager,B+,Asian,1
169-02-4393,1,separated,Cartographer,B-,White,0
169-29-4150,0,widowed,Secondary school teacher,B-,White,0
169-57-6302,0,married,Customer service manager,AB-,White,1
169-77-5717,0,separated,Clinical molecular geneticist,AB-,Black,0
170-14-1817,0,nop,"Engineer, control and instrumentation",AB+,White,1
170-49-5057,1,separated,Chief Technology Officer,A-,White,1
170-59-8142,0,divorced,"Journalist, magazine",A-,Black,1
170-78-6709,1,single,Futures trader,AB-,White,0
170-86-1567,0,married,Volunteer coordinator,O-,Black,0
171-15-0101,0,divorced,Food technologist,AB-,White,1
171-28-8223,1,married,Physiological scientist,O-,Asian,1
171-38-6644,0,single,"Production designer, theatre/television/film",A+,Black,0
171-51-0572,1,separated,Medical secretary,B+,White,1
171-53-6454,1,single,Town planner,B-,White,1
171-66-3251,1,widowed,Marine scientist,B-,White,1
171-94-8769,1,married,Animal nutritionist,AB-,White,1
172-14-6698,0,married,Analytical chemist,O-,White,0
172-18-2911,0,single,Quality manager,O-,White,1
172-50-3054,0,divorced,"Scientist, research (maths)",AB-,Black,1
173-03-4443,0,divorced,Clinical molecular geneticist,B+,Black,1
173-32-3576,1,single,"Exhibitions officer, museum/gallery",O-,Asian,0
173-38-4756,0,divorced,Diplomatic Services operational officer,A+,White,1
173-38-7014,0,single,Psychiatric nurse,B-,Black,0
173-42-9908,1,single,Nutritional therapist,A-,Black,1
173-52-8930,1,divorced,"Engineer, electrical",O+,Black,1
173-87-7335,0,widowed,Barrister,AB-,White,0
174-02-4780,1,married,Architect,A+,White,1
174-39-5804,0,widowed,Ship broker,O-,White,1
174-48-4056,0,divorced,Further education lecturer,O+,Hawaiian,1
174-79-8693,0,separated,Risk analyst,AB-,Black,1
174-95-8122,0,divorced,Chemical engineer,B+,Asian,0
175-11-0244,0,divorced,"Physicist, medical",B+,White,0
175-25-9576,0,divorced,Occupational hygienist,B-,White,1
176-06-8430,0,divorced,Logistics and distribution manager,AB+,Hawaiian,1
176-09-1213,1,divorced,Advice worker,A+,White,0
176-19-4606,1,married,Environmental consultant,AB+,Black,1
176-37-9942,0,separated,Outdoor activities/education manager,O+,White,0
177-39-6439,0,married,Recycling officer,O+,White,0
177-66-0942,1,divorced,Minerals surveyor,O-,Asian,1
178-92-5505,1,single,Barista,A+,White,0
178-93-2349,1,divorced,Copy,B+,Black,0
180-02-1485,1,single,Midwife,O+,Hawaiian,1
180-06-7932,0,married,Quantity surveyor,O+,Black,1
180-11-1257,1,widowed,"Psychologist, prison and probation services",AB-,White,1
180-12-0579,0,married,Chief Financial Officer,A+,White,1
180-35-8282,0,married,Amenity horticulturist,O-,Black,1
180-45-7264,1,separated,Company secretary,B+,White,0
180-51-1912,0,single,Horticultural therapist,AB+,White,0
180-74-2188,0,single,Broadcast presenter,AB+,White,0
180-91-9425,0,widowed,Clothing/textile technologist,O-,White,0
181-24-2330,1,married,Fitness centre manager,A+,White,0
181-35-6002,1,widowed,Sports administrator,O-,Black,0
181-90-1017,0,married,"Exhibitions officer, museum/gallery",O-,Black,0
182-04-0907,0,single,Herbalist,AB+,Black,1
182-17-5687,0,separated,Science writer,O-,Indian,1
182-54-3959,1,single,"Administrator, Civil Service",O+,Black,0
182-56-5532,0,nop,Database administrator,B+,Black,1
182-94-3914,1,single,"Conservator, museum/gallery",O+,White,1
183-63-7143,1,single,Materials engineer,B-,Asian,0
183-97-3919,0,single,Insurance account manager,O-,White,0
184-29-4178,0,widowed,"Designer, textile",O+,White,0
184-33-0936,0,divorced,Equality and diversity officer,A+,Black,1
184-39-3007,1,separated,"Therapist, drama",AB+,Black,1
185-29-2312,1,widowed,Geochemist,AB+,White,0
186-21-0616,0,divorced,Electronics engineer,B-,White,0
186-57-4083,1,divorced,"Designer, industrial/product",B-,Black,0
186-94-5839,1,divorced,"Engineer, civil (contracting)",A+,White,0
187-45-5967,1,divorced,Herbalist,B+,White,1
187-60-0718,0,nop,"Engineer, structural",O+,Asian,0
187-80-9210,1,married,Retail merchandiser,AB+,Hawaiian,1
187-84-3467,0,divorced,Industrial/product designer,A+,White,0
187-91-4625,0,single,Private music teacher,O+,Black,1
188-21-3973,0,widowed,Acupuncturist,A-,White,1
188-37-4736,1,single,"Designer, fashion/clothing",AB+,Asian,1
189-35-0734,0,single,"Surveyor, minerals",A-,White,1
189-52-8587,0,married,Actuary,O-,Black,0
189-88-8792,1,widowed,Publishing copy,A-,Hawaiian,1
190-34-5760,0,single,Economist,A-,White,1
190-43-9998,0,married,"Scientist, audiological",AB+,Black,1
190-51-9416,1,married,Haematologist,B-,Black,1
191-19-1218,0,separated,"Production assistant, television",AB-,White,1
191-37-4379,1,married,"Therapist, drama",AB-,White,0
191-48-3667,0,divorced,Exhibition designer,AB+,Hawaiian,0
191-82-7142,1,married,Freight forwarder,O-,Black,1
192-13-3005,0,divorced,"Scientist, research (life sciences)",AB-,Indian,0
192-19-6560,0,single,"Civil engineer, consulting",B+,White,0
192-32-3473,0,divorced,Contractor,B-,Asian,0
192-45-2204,1,married,Insurance broker,B+,White,0
193-39-9327,0,married,Herpetologist,B+,Asian,1
193-60-2211,1,divorced,Editorial assistant,AB+,Asian,0
193-62-5722,1,separated,Nutritional therapist,AB-,White,0
193-97-7878,0,divorced,Outdoor activities/education manager,AB-,Black,1
194-02-7486,0,divorced,"Engineer, materials",AB-,Asian,0
194-52-2400,0,divorced,Immigration officer,A+,White,1
194-85-2922,0,single,"Doctor, general practice",O-,White,0
194-87-4332,0,married,Astronomer,A-,Black,0
195-03-5060,0,married,"Civil engineer, contracting",B+,White,1
195-04-2151,0,married,Trade union research officer,A-,White,0
195-51-0372,0,widowed,"Exhibitions officer, museum/gallery",A-,Black,0
196-75-7935,0,single,Early years teacher,AB-,White,0
196-82-4734,0,divorced,Brewing technologist,B-,Asian,1
197-59-5179,1,single,Pathologist,AB+,White,1
197-87-9577,1,widowed,Social researcher,B-,Black,0
197-94-6282,0,married,Museum/gallery conservator,AB+,Black,0
197-96-3402,1,married,Occupational hygienist,O-,Asian,0
198-06-3958,0,single,Housing manager/officer,A-,White,0
198-18-2914,0,married,Production manager,B-,White,0
198-31-7005,0,single,Travel agency manager,O-,Asian,1
198-66-0941,0,married,Armed forces technical officer,B-,White,1
199-09-0865,1,married,Quantity surveyor,B-,White,0
199-40-9162,1,single,Interior and spatial designer,AB+,White,1
200-32-1840,0,single,Probation officer,O+,White,1
200-36-8115,0,married,Pathologist,A+,White,0
200-57-6820,0,widowed,Patent examiner,O+,Hawaiian,0
200-67-1775,0,married,Historic buildings inspector/conservation officer,AB+,White,0
201-16-0483,1,divorced,Estate agent,B-,White,1
201-68-4278,1,married,Arts administrator,B-,White,0
201-99-0542,1,married,Archaeologist,A-,Asian,0
202-31-4460,1,divorced,Customer service manager,AB-,Black,1
202-39-0675,1,married,"Engineer, structural",AB-,Indian,0
202-40-4506,0,nop,Rural practice surveyor,B+,Black,0
202-40-8161,0,nop,IT technical support officer,O+,White,0
202-59-8448,1,married,Systems developer,AB+,White,0
202-88-2468,1,nop,Translator,B+,White,1
203-01-4533,0,widowed,Tree surgeon,A-,White,1
203-02-5380,0,separated,Medical secretary,B-,Hawaiian,1
203-05-4641,1,single,"Engineer, agricultural",A-,White,1
203-17-7651,0,divorced,Tree surgeon,O-,White,0
203-54-9330,1,divorced,Osteopath,B-,White,1
203-57-1694,0,married,Art gallery manager,O-,Black,0
204-46-3217,0,divorced,"Teacher, secondary school",O-,White,1
204-64-8603,0,divorced,Primary school teacher,O+,Black,0
204-79-5086,0,divorced,Surgeon,AB+,Black,1
204-98-9156,1,married,Merchant navy officer,A+,White,0
205-49-4441,0,nop,Administrator,B+,White,1
205-64-5669,0,separated,Furniture conservator/restorer,AB-,Asian,0
205-75-2073,0,separated,Nutritional therapist,B+,White,0
206-08-5633,1,divorced,Community arts worker,O+,Black,0
206-20-5852,1,separated,Building control surveyor,A-,Black,1
207-25-8612,0,divorced,Data processing manager,O+,Black,1
207-68-6633,0,nop,"Scientist, research (maths)",A+,Indian,0
207-78-0488,0,married,Futures trader,O+,White,1
208-37-7653,1,separated,Photographer,AB-,Asian,0
210-49-2094,0,widowed,Water engineer,O-,White,0
210-55-1854,0,nop,"Engineer, water",B-,Black,1
210-58-8065,1,divorced,Television camera operator,O+,White,0
210-70-3610,0,married,"Production designer, theatre/television/film",A+,White,1
210-77-1594,0,married,Health visitor,A+,Asian,0
211-09-4525,1,nop,Warehouse manager,O-,Black,1
211-36-2535,1,single,Rural practice surveyor,A-,Black,1
211-41-8121,0,married,Warehouse manager,O-,Indian,0
211-49-3690,1,separated,Water engineer,AB+,Black,1
211-63-8190,1,divorced,"Exhibitions officer, museum/gallery",O+,Indian,1
211-83-0523,1,married,Agricultural consultant,O+,White,0
211-99-1126,1,single,Minerals surveyor,A-,White,0
212-05-0678,0,widowed,"Teacher, music",O-,Asian,1
212-19-9513,1,divorced,Teaching laboratory technician,O+,White,0
212-47-3356,1,widowed,Video editor,AB-,Black,1
212-85-9372,1,married,Acupuncturist,A-,Black,1
213-47-4214,1,divorced,Colour technologist,O-,Black,1
213-51-2222,1,separated,Building control surveyor,O-,White,0
214-20-4222,1,single,"Lecturer, further education",A+,White,0
214-34-0780,0,nop,Chartered accountant,B-,White,0
214-34-4140,1,divorced,Osteopath,B-,Black,0
214-38-9776,0,married,"Engineer, manufacturing",AB-,White,1
214-48-3445,1,divorced,Sales executive,O+,White,1
214-59-3177,1,widowed,Insurance broker,B-,Hawaiian,0
214-61-4744,1,single,Company secretary,AB-,White,0
214-68-2617,1,divorced,Operational investment banker,AB+,White,1
214-99-8378,0,single,Ecologist,AB+,White,1
215-63-6694,0,single,Chief of Staff,A+,White,1
215-68-5870,0,married,Newspaper journalist,AB+,White,0
215-69-6246,1,nop,"Lecturer, higher education",A-,Black,0
215-81-0240,0,single,"Psychologist, counselling",B-,White,1
216-13-2039,0,married,Textile designer,O-,Black,0
216-48-1802,0,separated,"Designer, television/film set",A+,Black,1
216-59-1977,0,divorced,Arts development officer,AB-,White,1
216-64-9761,0,separated,Commercial/residential surveyor,B-,Asian,1
217-35-1556,0,divorced,Sports development officer,A-,Asian,0
217-35-6560,0,nop,Land/geomatics surveyor,AB-,Black,1
217-61-9882,1,divorced,"Production assistant, radio",B+,Asian,1
217-83-9030,0,divorced,"Radiographer, therapeutic",B-,White,1
218-06-8627,0,widowed,Tax inspector,O+,Black,1
218-11-5307,0,single,Podiatrist,B+,White,0
218-27-4282,0,divorced,Purchasing manager,O-,Black,0
218-57-1028,0,divorced,"Production assistant, television",O-,Indian,0
218-68-6003,0,married,Warden/ranger,B+,Black,1
218-79-7414,1,married,Arts development officer,AB-,Asian,1
218-85-6285,0,divorced,Ranger/warden,O+,Black,0
219-60-7685,1,divorced,Museum education officer,B-,White,0
220-42-8328,0,divorced,"Therapist, sports",O-,Hawaiian,0
220-68-3957,1,married,"Copywriter, advertising",O+,White,0
220-74-3553,0,single,Senior tax professional/tax inspector,B-,White,1
220-81-8533,1,nop,Airline pilot,O+,White,1
220-98-6501,1,single,International aid/development worker,AB+,Indian,1
221-11-1165,0,widowed,Clinical research associate,O-,Black,0
221-45-2844,0,divorced,"Geneticist, molecular",A+,White,0
221-54-9589,1,divorced,Farm manager,O-,Asian,0
221-78-1108,0,divorced,"Nurse, children's",AB+,Black,0
222-01-7013,0,divorced,Best boy,A-,White,1
222-19-4910,1,nop,"Scientist, clinical (histocompatibility and immunogenetics)",AB+,White,1
222-85-8898,0,divorced,Product/process development scientist,B-,Indian,1
222-87-4162,0,nop,Barrister's clerk,AB+,Indian,1
222-89-8312,0,widowed,Biomedical scientist,B+,Black,1
223-69-7468,0,married,Illustrator,O+,White,0
223-92-8493,0,divorced,"Runner, broadcasting/film/video",A+,White,1
224-62-3131,0,married,Chiropodist,O+,Black,0
224-88-7419,1,widowed,Medical physicist,AB+,White,1
226-28-4814,0,married,Magazine journalist,AB-,White,1
226-34-5177,0,single,"Scientist, physiological",A-,Hawaiian,0
226-52-9893,0,widowed,Psychiatric nurse,A+,White,1
226-63-5503,0,divorced,Medical physicist,O+,Hawaiian,1
226-93-4375,0,married,Museum/gallery exhibitions officer,A-,Black,1
226-94-9493,0,widowed,Chiropodist,B-,Black,1
227-30-9827,0,divorced,"Pharmacist, hospital",B-,Hawaiian,0
227-92-6838,0,married,Television camera operator,AB-,White,0
228-41-1973,1,single,"Engineer, production",B+,White,1
228-66-2047,1,married,"Surveyor, building",O+,Black,0
228-68-0148,1,divorced,Community development worker,AB-,Black,0
228-79-3042,1,single,Public house manager,B+,Black,1
228-82-2500,0,single,Environmental health practitioner,B+,Black,0
229-21-2164,1,separated,Insurance underwriter,AB+,White,0
229-23-4371,1,divorced,Heritage manager,A-,White,0
229-64-9537,1,divorced,Special educational needs teacher,AB+,White,0
229-90-9099,0,divorced,Merchant navy officer,AB+,Black,0
230-58-6665,1,separated,Stage manager,O-,Black,1
230-75-6335,1,widowed,Health and safety adviser,O-,Black,0
230-79-9823,1,divorced,Interior and spatial designer,AB-,Black,0
230-90-5085,1,married,Economist,AB+,Hawaiian,0
230-97-2343,0,single,Airline pilot,A-,Black,1
230-98-9313,0,divorced,Product/process development scientist,B+,Asian,0
231-80-6862,0,married,Clinical psychologist,O-,White,1
231-81-2130,1,married,"Surveyor, rural practice",O-,White,1
232-14-4542,0,divorced,Research scientist (life sciences),B-,Asian,1
232-21-4557,0,single,Operational researcher,A-,Black,0
232-21-9720,0,separated,"Surveyor, minerals",B+,Black,1
232-40-7564,0,nop,"Clinical scientist, histocompatibility and immunogenetics",B+,White,0
232-89-5098,0,married,Training and development officer,AB+,White,0
233-05-9864,0,married,Mental health nurse,B+,White,0
233-66-8491,0,divorced,Educational psychologist,B+,White,0
233-92-9728,0,divorced,Corporate treasurer,AB+,White,1
233-97-0920,1,married,Ecologist,AB-,Black,0
234-05-4752,0,married,Hotel manager,AB+,White,0
234-51-2248,0,widowed,"Engineer, aeronautical",A+,Hawaiian,1
235-07-7985,1,married,Environmental health practitioner,AB-,White,1
235-38-3993,0,single,Building control surveyor,O-,Indian,1
235-46-8764,0,divorced,Community education officer,O-,Hawaiian,0
235-54-5672,1,separated,"Optician, dispensing",O+,White,1
235-69-3037,1,separated,"Sound technician, broadcasting/film/video",A+,Black,0
236-17-3736,0,nop,Quality manager,O+,White,1
236-32-6279,0,separated,Environmental education officer,B+,White,0
236-65-6676,1,single,IT consultant,O-,White,0
236-79-9474,1,married,Contracting civil engineer,O+,Black,1
237-06-0080,0,married,"Engineer, chemical",A-,White,0
237-31-4037,0,nop,Industrial buyer,O-,Asian,0
237-34-5035,0,widowed,Health and safety inspector,A-,Indian,0
237-65-9748,0,married,Paediatric nurse,A-,White,0
237-68-4338,0,divorced,Broadcast engineer,AB-,White,0
238-02-3146,0,divorced,Animal technologist,O-,White,0
238-23-6485,0,divorced,Accounting technician,A+,Indian,1
238-56-2355,1,married,Retail merchandiser,A+,White,1
238-62-2442,1,single,Systems developer,AB+,White,0
238-69-9153,0,divorced,Accommodation manager,A+,White,1
238-71-6901,0,married,"Psychotherapist, child",A+,White,1
239-03-3839,1,separated,"Civil engineer, consulting",AB+,Indian,1
239-47-0070,1,widowed,Chemical engineer,B+,Black,0
239-94-7285,0,divorced,"Accountant, chartered certified",O+,White,0
240-87-4204,0,nop,Futures trader,AB-,White,1
240-98-0854,1,divorced,Set designer,AB+,White,0
241-40-3821,1,divorced,"Engineer, materials",B+,Black,0
241-42-4683,1,married,Aid worker,O+,White,1
242-37-5837,0,divorced,Arboriculturist,B-,Indian,1
242-51-7752,1,nop,Public relations officer,B+,White,0
242-53-1366,0,divorced,Public affairs consultant,B+,White,0
243-79-7921,0,married,Control and instrumentation engineer,O-,Black,0
243-88-0389,1,widowed,Office manager,B-,White,0
243-95-2748,0,nop,Press photographer,B+,Black,0
243-99-0601,1,widowed,Occupational hygienist,O-,Black,1
244-29-9015,0,divorced,Risk analyst,B-,White,1
245-07-0671,0,married,Community arts worker,AB-,Black,1
245-50-6359,0,single,Education administrator,A-,White,1
245-58-0388,1,nop,Contracting civil engineer,A+,White,0
245-93-4102,0,widowed,"Journalist, broadcasting",O+,White,1
246-04-9036,1,single,"Engineer, electronics",A-,Asian,0
246-82-2886,0,nop,Fisheries officer,A-,Black,0
247-52-5076,0,nop,"Sales professional, IT",B+,Black,0
247-61-2110,1,single,Mental health nurse,B+,Hawaiian,1
247-66-2356,1,nop,Personnel officer,O+,Black,1
247-76-7447,1,single,Financial trader,O+,Black,1
248-01-7968,0,divorced,"Engineer, civil (contracting)",O-,White,1
248-19-2019,1,divorced,"Exhibitions officer, museum/gallery",AB+,White,0
249-06-4429,0,nop,Careers adviser,AB+,Asian,1
249-36-6326,1,married,Fashion designer,A+,White,0
249-53-4900,1,single,Office manager,B+,White,1
250-72-2870,0,divorced,"Education officer, community",AB-,White,0
251-02-7532,1,nop,Science writer,B-,Black,0
251-19-8281,0,single,Aeronautical engineer,O+,White,0
251-97-7712,1,separated,Operations geologist,AB-,Black,1
251-98-7666,0,married,Applications developer,B+,Black,1
252-08-0274,0,single,Education administrator,O-,White,1
252-10-1851,0,widowed,Chartered accountant,O-,Black,1
252-19-2102,1,single,Wellsite geologist,AB-,Indian,1
252-67-6356,0,married,Interior and spatial designer,A-,White,1
253-02-4577,0,divorced,Commercial horticulturist,A+,Black,1
253-03-1215,0,single,Gaffer,A-,Indian,1
253-06-3714,0,single,Meteorologist,A-,Black,0
253-75-6802,0,divorced,Production engineer,AB-,White,0
254-20-4653,1,divorced,"Development worker, community",O+,Asian,1
254-54-8533,0,single,Chief Operating Officer,B-,Indian,1
254-56-8760,1,married,Leisure centre manager,A-,White,1
254-75-7907,1,married,Museum/gallery curator,A+,Hawaiian,1
255-53-6696,1,single,"Surveyor, hydrographic",AB-,White,1
255-61-4167,0,single,Brewing technologist,A-,White,0
255-69-3147,0,widowed,Comptroller,O-,Indian,0
255-77-1718,0,separated,Geophysical data processor,B+,Black,0
255-97-1221,1,nop,Chief of Staff,A+,White,1
256-28-7698,1,divorced,"Designer, blown glass/stained glass",AB+,Black,0
256-37-1274,0,widowed,Actor,B-,Asian,0
256-45-9751,0,separated,Retail buyer,AB-,White,1
256-52-6967,0,married,Acupuncturist,B+,White,0
256-56-5323,0,separated,Senior tax professional/tax inspector,AB-,White,1
257-01-7662,1,single,"Psychologist, forensic",O+,White,1
257-30-1428,0,single,Tourism officer,B-,White,0
257-38-0882,1,divorced,Landscape architect,B-,White,0
257-41-7328,0,married,Chartered public finance accountant,A-,White,1
257-42-9177,1,single,Technical author,AB+,White,0
257-71-2480,0,married,Estate manager/land agent,AB+,White,1
257-73-8297,0,single,Music therapist,B-,White,0
258-77-4285,1,divorced,Warden/ranger,O+,White,0
258-78-6918,0,married,Music tutor,A-,Asian,1
259-10-2788,1,married,Midwife,O+,Asian,1
259-12-8791,0,married,"Merchandiser, retail",O-,Black,1
259-93-4834,0,divorced,"Surveyor, rural practice",O+,White,0
260-43-2139,0,married,Landscape architect,O-,White,0
260-97-4999,1,divorced,Fish farm manager,AB+,Black,0
261-76-3143,0,divorced,Sales executive,O+,White,0
262-23-7184,1,single,Aid worker,O-,Black,1
262-42-2850,1,married,Community education officer,A-,White,0
262-43-2542,0,single,Occupational psychologist,AB+,White,0
262-49-0303,0,divorced,Set designer,B+,White,1
262-65-2780,0,single,Oncologist,B-,White,1
262-89-2046,0,separated,Cabin crew,AB-,Asian,1
263-47-7464,0,divorced,Translator,B-,White,0
263-71-9277,0,married,Information systems manager,B+,White,0
264-28-6798,0,divorced,Health promotion specialist,AB-,Hawaiian,0
264-98-8024,1,nop,Forensic scientist,AB+,White,0
265-24-9639,0,divorced,"Psychotherapist, dance movement",AB+,White,0
265-93-2821,0,married,Adult nurse,A-,Black,1
266-05-3081,1,single,Ambulance person,O+,Black,1
266-15-4131,0,widowed,English as a foreign language teacher,AB-,White,1
266-41-4562,0,married,IT sales professional,AB-,White,1
267-30-8889,0,nop,Chartered legal executive (England and Wales),O-,White,0
267-37-4449,0,married,"Education officer, environmental",A-,Black,1
267-40-8156,1,divorced,Community arts worker,AB-,White,1
267-59-4610,1,single,"Designer, jewellery",O-,White,0
267-80-9215,1,single,Merchant navy officer,B+,Hawaiian,1
267-92-9496,0,married,Recycling officer,B+,Black,1
268-50-7623,0,divorced,"Doctor, hospital",O-,Black,0
268-59-7150,0,separated,Psychiatric nurse,A-,White,1
268-66-7983,1,married,Curator,O+,Black,1
268-76-3431,0,nop,Dispensing optician,O-,Black,1
268-85-1583,1,divorced,"Sales professional, IT",B+,Hawaiian,1
269-19-7404,0,widowed,Building control surveyor,AB-,White,1
269-42-9641,0,married,Sales executive,A+,Indian,0
269-81-2609,0,single,"Investment banker, operational",O+,White,1
269-83-0516,0,divorced,"Therapist, speech and language",A-,White,0
269-91-1370,1,widowed,"Scientist, research (maths)",O+,White,1
270-85-5848,0,divorced,Careers adviser,O+,White,1
271-16-3662,0,single,"Engineer, land",O+,Hawaiian,0
271-59-0703,0,married,"Doctor, hospital",AB+,Black,0
272-30-7754,1,divorced,Local government officer,AB-,White,0
272-65-3340,0,single,"Designer, fashion/clothing",A+,Black,1
275-69-0529,1,divorced,Private music teacher,B+,Asian,1
275-73-3119,1,married,Information officer,AB-,Indian,0
275-76-7873,1,nop,Tax adviser,B+,White,0
276-15-4497,1,married,Retail merchandiser,O+,Indian,0
277-32-6779,0,married,"Pharmacist, hospital",A+,White,1
277-35-9350,0,married,"Engineer, biomedical",A+,White,0
277-42-3556,1,nop,Estate manager/land agent,AB-,Hawaiian,1
277-87-2783,0,single,"Engineer, structural",B+,Asian,0
278-62-7622,0,married,Intelligence analyst,O-,Black,0
278-63-2719,0,nop,Agricultural consultant,B-,Indian,1
278-70-9509,0,married,"Designer, television/film set",B+,White,0
279-04-2534,0,married,Nature conservation officer,O+,Black,0
279-05-4582,1,nop,Theatre director,AB+,White,0
279-57-6792,1,nop,Analytical chemist,O-,White,1
279-61-8666,1,separated,"Teacher, early years/pre",B-,Asian,0
279-66-9912,1,nop,Chief Technology Officer,B-,Black,1
279-98-2790,1,married,"Lecturer, further education",B-,Black,0
280-01-6370,0,single,Public relations account executive,O-,Black,1
280-16-4767,0,married,"Education officer, community",A-,White,0
280-60-6978,1,divorced,Contractor,A+,White,0
280-78-4612,1,single,Community education officer,A-,Black,1
281-22-0427,1,single,"Production assistant, radio",B-,White,0
281-37-9292,1,widowed,Social researcher,O+,Indian,0
281-56-5476,1,married,"Engineer, manufacturing",A+,White,0
281-74-6686,1,married,Solicitor,AB+,White,1
281-89-7616,1,married,Insurance account manager,B+,White,0
281-90-1590,1,single,Community arts worker,A+,Indian,1
282-07-3409,0,divorced,Learning disability nurse,A-,White,1
282-19-2063,0,nop,Animal nutritionist,B-,White,0
282-32-4395,1,divorced,Television camera operator,AB+,Black,0
282-74-8554,1,divorced,IT sales professional,B-,White,1
283-74-4348,0,widowed,Magazine features editor,AB+,Black,0
284-75-7982,0,single,Podiatrist,O+,Indian,0
284-91-7578,1,separated,Chartered certified accountant,O+,Asian,1
285-25-9127,1,nop,Holiday representative,A-,Black,1
285-30-6412,1,married,Banker,A-,White,1
285-45-0984,1,married,"Engineer, electronics",B+,Black,0
285-90-5868,0,divorced,Armed forces training and education officer,O-,Indian,1
286-05-8649,0,married,Exhibition designer,A-,White,1
286-39-2880,0,divorced,Manufacturing systems engineer,O-,White,0
286-78-9730,0,separated,"Secretary, company",A+,Hawaiian,1
286-92-3405,1,single,"Nurse, children's",O+,Black,0
286-95-5781,0,widowed,"Accountant, chartered management",AB-,Hawaiian,1
288-03-3473,0,married,Mechanical engineer,A-,Black,1
288-79-2257,0,widowed,Sports administrator,A+,White,0
289-84-2917,0,single,"Copywriter, advertising",AB+,White,1
289-92-2777,1,widowed,Risk manager,AB+,White,0
290-25-8802,1,single,Product/process development scientist,A+,White,1
290-47-2261,0,single,"Designer, industrial/product",O-,White,0
290-62-6357,0,single,Landscape architect,B-,Hawaiian,0
290-68-4315,1,separated,Contracting civil engineer,O-,Black,1
290-94-3097,0,divorced,"Scientist, marine",O-,White,0
290-94-8666,0,divorced,Civil Service fast streamer,AB-,Black,1
291-67-2363,0,widowed,Medical illustrator,B-,Black,1
292-18-5629,0,single,"Therapist, music",A+,White,0
292-30-9469,0,nop,IT technical support officer,B-,White,1
292-42-1721,0,single,Commercial horticulturist,O+,White,1
292-42-9907,0,nop,Surgeon,B-,Black,1
292-67-7738,1,single,"Solicitor, Scotland",B+,White,1
